date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2024-11-03,6227565609,46013218168,2867876.9550016047
2024-11-04,6292992967,45765595295,2896390.8159277416
2024-11-05,7454742832,44622493054,971085.8753948224
2024-11-06,12767299605,45499004608,17137.51120831578
2024-11-07,11031762478,50088582994,255582.66116798116
2024-11-08,9233376342,52411295862,1615842.297389533
2024-11-09,8999314514,53375073669,2083126.9589994834
2024-11-10,13102417407,55567152991,605117.6484893534
2024-11-11,16743079880,56706949322,454950.4876708003
2024-11-12,19202548659,59080555961,320515.2453343455
2024-11-13,19771734530,58447931008,124396.68569265556
2024-11-14,15670734644,57566782431,123009.27161012229
2024-11-15,13027346441,55698230696,3049189.9803396496
2024-11-16,12716122697,56370427305,1653526.2498442465
2024-11-17,13951638336,56719853691,180059.35022123018
2024-11-18,17168404800,56227086408,231995.17394683373
2024-11-19,15971119137,57842842582,1065810.8387978233
2024-11-20,16557301422,56911769202,1446741.9131445375
2024-11-21,17925474504,56641668846,1662389.661616008
2024-11-22,15506063769,61377963127,178334.74430656797
2024-11-23,14795844544,61294536818,4143216.8752585836
2024-11-24,14160279235,62445949781,258514.37038871404
2024-11-25,17393277225,62000582068,890173.3618808534
2024-11-26,17455692437,61955690406,885799.7315429588
2024-11-27,14147205193,60954820509,3422274.521470479
2024-11-28,12461264900,66966425655,1071972.6257140113
2024-11-29,11184173534,65970933477,879246.1017921394
2024-11-30,10365258750,66798918236,731415.3111851334
2024-12-01,12945932815,68594200526,1446713.5409554774
2024-12-02,17519700801,68890734133,112111.31845694454
2024-12-03,15967692092,67687609203,2094.0922647248967
2024-12-04,17966568057,68238079520,3046791.23307302
2024-12-05,19875671919,71886280978,690466.136772255
2024-12-06,15644046017,70920634400,397996.1386865931
2024-12-07,9866197173,74876709883,458950.1606697831
2024-12-08,11293643138,74993266561,1628841.531551154
2024-12-09,18709134500,75133244233,481866.0502474025
2024-12-10,17759614706,69976296724,1470411.77980356
2024-12-11,13501477245,69343306226,580643.839484119
2024-12-12,14846433404,72937732046,1858395.9511499763
2024-12-13,12078550011,73411487811,79264.08026934267
2024-12-14,10052987356,74155121129,656098.6856964917
2024-12-15,10602425538,73875604773,628951.9249813593
2024-12-16,16188339442,74864684426,306970.88363846793
2024-12-17,14668982815,75864623178,2875547.5898472224
2024-12-18,17300105186,74004332774,2354177.98866864
2024-12-19,19191573473,69999138987,586261.1725600901
2024-12-20,17755466103,66518986458,102209.49170283464
2024-12-21,11863765363,66922945367,231658.63810515878
2024-12-22,10447017880,64814014483,316756.4474569641
2024-12-23,12164090360,64319687831,662074.5219064789
2024-12-24,11836432630,66644752382,413059.5397688017
2024-12-25,8853881428,68303658092,1487822.5397952537
2024-12-26,9769775752,68368068633,646314.3738798866
2024-12-27,10032482926,65856363874,2043074.931787566
2024-12-28,7956772063,65619559226,5468334.960956112
2024-12-29,8564997297,67000979154,248251.06090158742
2024-12-30,12627982028,66313255977,945903.331788658
2024-12-31,11058217844,65664128388,1880605.8340536673
2025-01-01,10054797365,65280073193,2904733.8294836013
