address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,0.9998747801290989,32150,2708445925.2802086,100647,15977,2708785119.003109,5417231044.283318
0x9a21cf1552630a00eed185f3aaf7af3751226e42,0.9962409131491159,10,2650220526.0693154,806,1,2660220526.0693145,5310441052.13863
0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,0.9997912887835321,22,2621320651.935334,112214,22,2620773552.9133162,5242094204.84865
0xe287aa11128c7db934722963325146f3efa217b5,0.9999410754887514,45,2588850074.968553,433,25,2588697528.24319,5177547603.211742
0x1bf7a9e3a364e7f5761345837f222cd93e230c4f,0.9999999999999994,2,2574784947.2986135,2112,1,2574784947.298615,5149569894.597229
0xb262f75dbbff55f14e2a50e2d9d751e213c81ed0,0.9997985646876545,197,2557875821.5612526,6287,229,2558391171.8860636,5116266993.447316
0xc9f9f694ae147b1333c4f53266c5ccd5c6e4c04f,0.9995223965848357,135,2532457378.0998707,2347,87,2531247867.807332,5063705245.907203
0x86a067030a9668c13ff2a8c4d5415afc776d4c63,0.999999999999999,6,2515622915.587457,6661,1,2515622915.5874596,5031245831.174917
0xaaf9f14f20145ad50db369e52b2793bfeb18a45b,0.9999999999999998,14,2507501062.0142136,530,9,2507501062.014214,5015002124.028427
0x66be97a14ca1b8ee1a71c17053b79954e36883da,0.9987618009411319,48,2502175109.7894473,966,61,2499076918.9233828,5001252028.71283
0xe1fc412c483b02515ca2f5a733524c703263934d,0.9999999991403378,9,2486910184.0844574,891,2,2486910181.9465547,4973820366.031012
0x16f6d15381bee4a25b25f0d1c4161b78f7f21fde,0.9934341281445497,27,2494768121.980061,911,18,2478387794.1820774,4973155916.162138
0x27bffb0f09c18539f9a47a39958bb149fe42a155,0.9999999999999997,27,2463369590.718311,10897,1,2463369590.718312,4926739181.436623
0x3b207e4aa3ee4cd2b0b67db07ec4cb8c8a46bbeb,0.9999999999453337,23,2457289675.158654,4020,1,2457289675.0243235,4914579350.182978
0xf695c5c74f36c2b0d0136bfb9465b290b94c0e31,0.9975259060858398,2,2419130253.003,1422,1,2425130253.0030003,4844260506.0060005
